1._Nombre_de_encuestador,2._Fecha_y_Hora_inicio,"3._Buenos_dias/_tardes,_mi_nombre_es__________________soy_encuestador/a_y_junto_a_la_Superintendencia_de_Servicios_Publicos_y_Domiciliarios_estamos_indagando_acerca_de_como_estan_siendo_atendidas_sus_peticiones,_quejas_y/o_reclamos._Su_participacion_es_voluntaria_y_tanto_su_identidad,_como_las_respuestas_suministradas_seran_de_caracter_confidencial._Esta_encuesta_toma_alrededor_de_10_minutos,_¿estaria_dispuesto(a)_a_responder_unas_preguntas?","4._¿Autoriza_a_la_Superservicios_para_hacer_tratamiento_de_sus_datos_personales,_de_acuerdo_con_lo_establecido_en_la_Ley_1581_de_2012_y_la_Politica_de_tratamiento_de_datos_personales_de_la_entidad_publicada_en_https://www.superservicios.gov.co/Politica-de-tratamiento-de-datos?",Otro,8._Su_edad_se_encuentra_entre,9._Departamento,10._Municipio,11._Nombre_Punto_Atencion,12._Empresa,13._¿Por_que_motivo_viene_usted_hoy_a_este_punto_de_atencion?,Otro.1,14._Ud._visita_el_punto_de_atencion_¿Como?,Otro.2,15._¿Coincide_su_lugar_de_residencia_con_el_lugar_donde_esta_siendo_atendido?,16._Ud._Se_identifica_como,Otro.3,17._Pertenece_a_alguna_de_las_siguientes_etnias,Otro.4,18._¿Su_direccion_es_la_misma_que_registra_en_su_factura?,20._¿En_que_tipo_de_zona_vive_en_este_momento?,21._¿Cual_es_su_estado_civil_actualmente?,Otro.5,22._¿Cual_es_su_mayor_nivel_de_estudios?,Otro.6,23._Indiqueme_por_favor_si_el_lugar_en_el_que_vive_es:,Otro.7,24._¿Cual_es_su_principal_ocupacion,Otro.8,25._¿Cuantas_personas_actualmente_componen_su_hogar?,26._¿Cuanto_tiempo_le_toma_desde_su_lugar_de_vivienda_a_este_punto_de_atencion?,"27._Aproximadamente,_¿Cuanto_dinero_estima_que_sera_gastado_para_esta_diligencia?",Otro.9,28._¿A_que_servicio_refiere_su_visita_al_punto_de_atencion?,Otro.10,29._¿Que_tipo_de_gestion_llevara_a_cabo?,Otro.11,30._Su_inconformidad/solicitud_o_peticion_tiene_que_ver_con,Compartanos_si_considera_que_otra_razon_distinta_que_quiera_compartir_de_forma_muy_corta,"30.1_Como_su_respuesta_fue_facturacion,_indique",Otro.12,"30.1_Como_su_respuesta_fue_Prestacion_del_servicio,_indique",Otro.13,31._Como_califica_la_prestacion_del_servicio_por_parte_de_la_empresa,Otro.14,"32._En_este_momento,_¿ud_ya_fue_atendido?",32.1_Elija_la_escala_en_la_cual_se_encuentra_luego_de_ser_atendido,32.1_Elija_la_percepcion_que_tiene_en_este_momento,33._Frente_a_su_motivo_de_visita_al_punto_de_atencion_hubiera_preferido:,Otro.15,34.1._¿En_cuanto_tiempo_espera_una_respuesta_a_su_PQR?,34.1_¿En_cuanto_desearia_una_respuesta_a_su_PQR?,"35._Si_No_recibe_respuesta_a_su_solicitud_dentro_del_tiempo_estipulado,_¿Que_accion_tomaria?",Buscaria_otra_solucion._¿Cual?,36._Si_Ud._Recibe_una_respuesta_con_la_cual_NO_ESTA_DE_ACUERDO,Otro.16,"37._¿La_empresa_prestadora_de_servicio_le_explico_que,_si_USTED_no_esta_de_acuerdo_con_su_respuesta_puede_pedir_que_la_revisen_o_que_otra_autoridad_la_evalue?",Otro.17,38._Sobre_la_Superintendencia_de_Servicios_Publicos_Domiciliarios_(SSPD)_usted:,Otro.18,39._¿Que_tan_satisfecho_esta_con_la_atencion_brindada_en_este_punto?,40._¿tiene_su_factura_del_servicio_motivo_de_visita_a_la_mano?,CreationDate,EditDate,x,y,Duracion_(minutos)
d55e8cb90044,2024-10-31 10:06:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,Enel,other,Vengo a solicotar informacion de un plan excequial,Quien usa el servicio,,Si,Mujer,,Ninguno,,Si,Urbana,Casado/a,,Basica secundaria,,Propia,,Pensionado(a),,2,Menos de 30 minutos,Menos de $10.000,,Energia Electrica,,Solicitar informacion,,Prestacion del servicio,nan,nan,,other,Poliza exequial,Buena,,No,nan,Estoy seguro de que resolvere e,Quiero asistir presencialmente,,nan,Menos de una semana,Esperar Mas Tiempo,nan,Consultaria con alguien cercano,,"Si, y me explicaron como hacerl",,Creo que es la entidad que prov,,Satisfecho,Si,2024-10-31 10:17:12.538,2024-10-31 10:17:12.538,-74.0812638735487,4.62529453355205,11.20896666666667
f2506f32a669,2024-10-31 09:27:00.000,Si,SI AUTORIZO,,25 y 40 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Supercade CR 30,VANTI,other,Informacion de otros servucios,Quien usa el servicio,,Si,Mujer,,Ninguno,,Si,Urbana,Soltero/a,,Superior (incluye postgrado),,Arrendada,,Trabajador(a) independiente,,3,Menos de 30 minutos,Menos de $10.000,,other,ARL seguro,Solicitar informacion,,Prestacion del servicio,nan,nan,,Mi servicio es de mala calidad,,Regular,,Si,"Fui atendido, la orientacion fu",nan,Que lo atendieran virtualmente,,Entre una semana y un mes,nan,Presentar una queja o reclamo,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,Nunca habia escuchado sobre est,,Neutral,No,2024-10-31 10:19:59.113,2024-10-31 10:19:59.113,-74.0812583333333,4.62542666666667,52.98521666666667
d55e8cb90044,2024-10-31 10:18:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,VANTI,other,Solicito informacion de una deuda pendiente que se tiene con VANTI,Persona autorizada para actuar,,Si,Hombre,,Ninguno,,Si,Urbana,Casado/a,,Superior (incluye postgrado),,Propia,,Empleado(a) en el sector public,,20,Menos de 30 minutos,other,0.0,Gas Natural,,Presentar una reclamacion,,Prestacion del servicio,nan,nan,,other,Mala atencion de la funcionaria YERALDINE CEPEDA,Mala,,Si,"Fui atendido, pero la orientaci",nan,Quiero asistir presencialmente,,Menos de una semana,nan,Contactar Nuevamente,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,Creo que es la entidad que prov,,Muy insatisfecho,Si,2024-10-31 10:37:45.559,2024-10-31 10:37:45.559,-74.081179213602,4.62508154659511,19.75931666666667
d55e8cb90044,2024-10-31 10:45:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,Mi servicio fue suspendido,,Quien usa el servicio,,Si,Hombre,,Ninguno,,Si,Urbana,Casado/a,,Basica secundaria,,Propia,,Trabajador(a) independiente,,8,Menos de 30 minutos,Menos de $10.000,,Energia Electrica,,Radicar una peticion,,Prestacion del servicio,nan,nan,,other,Me cortaron el servicio yo lo pague en la manana y me lo cortaron en la tarde,Buena,,No,nan,Estoy seguro de que resolvere e,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,"La he escuchado, pero no se cua",,Satisfecho,Si,2024-10-31 11:02:47.933,2024-10-31 11:02:47.933,-74.0812552692176,4.62536150636518,17.79888333333333
d55e8cb90044,2024-10-31 11:06:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,Me cobraron por la reconexion,,Quien usa el servicio,,Si,Hombre,,Ninguno,,Si,Urbana,Casado/a,,Basica secundaria,,Propia,,Pensionado(a),,2,Entre 30 minutos a 60 minutos,Menos de $10.000,,Energia Electrica,,Presentar una reclamacion,,Facturacion,nan,other,Me botan el recibo por encima de la reja y no en el Buzon el recibo de ENEL se pierde no lo pago y me suspenden el servicio,nan,,Mala,,No,nan,Considero que la informacion qu,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,Nunca habia escuchado sobre est,,Insatisfecho,Si,2024-10-31 11:15:17.754,2024-10-31 11:15:17.754,-74.0813790197722,4.62533979351864,9.2959
d55e8cb90044,2024-10-31 11:18:00.000,Si,SI AUTORIZO,,41 y 59 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,other,Me llego una carta con un cobro no especificado,Quien usa el servicio,,Si,Hombre,,Ninguno,,Si,Urbana,Union libre,,Basica primaria,,Propia,,Trabajador(a) independiente,,4,Menos de 30 minutos,Menos de $10.000,,Energia Electrica,,Solicitar informacion,,Facturacion,nan,other,Cuando voy a pagar mi factura me aparece que esta pagada pero me llego una carta donde se me hace un cobro $ 1925490 no se de que es ese cobro,nan,,Buena,,No,nan,Estoy seguro de que resolvere e,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,Elevaria una queja a una autori,,other,Espero me den una pronta respuesta,"La he escuchado, pero no se cua",,Neutral,Si,2024-10-31 11:42:00.449,2024-10-31 11:42:00.449,-74.0813410697835,4.62543689334922,24.00748333333333
d55e8cb90044,2024-10-31 11:42:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,other,Me cambiaron mi fecha de pago yo puedo pagar despues del 5 de cada mes,Quien usa el servicio,,Si,Mujer,,Ninguno,,Si,Urbana,Casado/a,,Superior (incluye postgrado),,Propia,,Trabajador(a) independiente,,4,Menos de 30 minutos,De 30.000 a $60.000,,Energia Electrica,,Presentar una reclamacion,,Facturacion,nan,other,Me cambiaron la fecha de pago yo puedo pagar los 5 de cada mes,nan,,Mala,,No,nan,No confio en que me orienten ad,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,Elevaria una queja a una autori,,other,Espero me den pronta solucion,Se que es la entidad encargada,,Muy insatisfecho,Si,2024-10-31 11:53:52.747,2024-10-31 11:53:52.747,-74.0813578202094,4.62554938955269,11.87911666666667
d55e8cb90044,2024-10-31 11:57:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,other,Quiero arreglar el cobro de unos seguros exequialen,Quien usa el servicio,,Si,Hombre,,Ninguno,,Si,Urbana,Casado/a,,Basica secundaria,,Propia,,Trabajador(a) independiente,,3,Entre 30 minutos a 60 minutos,De $10.000 a $30.000,,Energia Electrica,,other,Arreglar el cobro de mis servicios adicionales,Facturacion,nan,other,Arreglar el cobro de mis servicios adicionales,nan,,Mala,,No,nan,No confio en que me orienten ad,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,Nunca habia escuchado sobre est,,Muy insatisfecho,Si,2024-10-31 12:09:10.799,2024-10-31 12:09:10.799,-74.0813775334564,4.62547513512915,12.17998333333333
f2506f32a669,2024-10-31 10:52:51.860,Si,SI AUTORIZO,,41 y 59 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Supercade CR 30,Enel,No estoy de acuerdo con el valo,,El dueno de la propiedad,,No,Mujer,,Ninguno,,Si,Urbana,Soltero/a,,Basica primaria,,Propia,,Trabajador(a) independiente,,2,Entre una hora y dos horas,Menos de $10.000,,other,Planeacion,Averiguar respuesta a una petic,,other,Planeacion,nan,,nan,,Buena,,Si,Mi motivo de visita fue complet,nan,Quiero asistir presencialmente,,Mas de un mes,nan,Presentar una queja o reclamo,nan,Pediria una revision a la empre,,"Si, pero no me dieron mas detal",,Se que es la entidad encargada,,Muy satisfecho,No,2024-10-31 12:15:28.634,2024-10-31 12:15:28.634,-74.0811183333333,4.62554,82.61290000000001
f2506f32a669,2024-10-31 11:28:39.085,Si,SI AUTORIZO,,41 y 59 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Supercade CR 30,ENEL COLOMBIA,No he recibido la factura,,Quien usa el servicio,,No,Mujer,,Ninguno,,Si,Urbana,Soltero/a,,Superior (incluye postgrado),,Arrendada,,Trabajador(a) independiente,,3,Entre dos horas a cinco horas,De $10.000 a $30.000,,Acueducto,,Solicitar copia de la factura,,Facturacion,nan,other,No llega la factura y no llega el numero del cliente.,nan,,other,"No puede, por servicio",No,nan,Estoy seguro de que resolvere e,Que fuera por telefono o Whatsa,,nan,Menos de una semana,Esperar Mas Tiempo,nan,Elevaria una queja a una autori,,other,En espera por motivo de atencion.,Se que es la entidad encargada,,Neutral,No,2024-10-31 12:15:32.340,2024-10-31 12:15:32.340,-74.08124,4.625495,46.88758333333333
f2506f32a669,2024-10-31 11:57:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Supercade CR 30,ENEL COLOMBIA,No estoy de acuerdo con el valo,,El dueno de la propiedad,,Si,Mujer,,Ninguno,,Si,Urbana,Viudo/a,,Basica primaria,,Propia,,Cuidador(a) del hogar,,1,Entre 30 minutos a 60 minutos,De $10.000 a $30.000,,Energia Electrica,,Presentar una reclamacion,,Facturacion,nan,Considero que me estan cobrando,,nan,,Buena,,No,nan,Estoy seguro de que resolvere e,Quiero asistir presencialmente,,nan,Menos de una semana,Presentar una queja o reclamo,nan,other,Creen que le van a resolver el motivo de la visita.,No me proporcionaron ninguna in,,Nunca habia escuchado sobre est,,Neutral,Si,2024-10-31 12:15:34.679,2024-10-31 12:15:34.679,-74.0813116666667,4.62548333333333,18.57798333333334
d55e8cb90044,2024-10-31 12:18:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,other,Solicito informacion sobre el segundo pago de la financiacion del servicio,Quien usa el servicio,,Si,Hombre,,Ninguno,,Si,Urbana,Soltero/a,,Superior (incluye postgrado),,Propia,,Pensionado(a),,2,Menos de 30 minutos,Menos de $10.000,,Gas Natural,,Solicitar informacion,,Facturacion,nan,other,Solicito informacion de la financiacion del pago del servicio,nan,,Mala,,No,nan,Considero que la informacion qu,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,Creo que es la entidad que prov,,Neutral,Si,2024-10-31 12:30:23.608,2024-10-31 12:30:23.608,-74.0810926595968,4.62556481066922,12.39346666666667
d55e8cb90044,2024-10-31 12:32:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,other,Radicar oficios para la suspension del servicio el hogar se encuentra desocupado,El dueno de la propiedad,,Si,Mujer,,Ninguno,,Si,Urbana,Casado/a,,Media,,Propia,,Pensionado(a),,3,Entre una hora y dos horas,Menos de $10.000,,Energia Electrica,,Radicar una peticion,,other,Suspender el servicio del inmueble ya que se encuentra vacia e inhabitable,nan,,nan,,Mala,,No,nan,No confio en que me orienten ad,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,Se que es la entidad encargada,,Insatisfecho,Si,2024-10-31 12:47:27.499,2024-10-31 12:47:27.499,-74.0812455723018,4.62547795179552,15.45831666666667
